word,exact_score,top_sugg,top_score,n
batch,32,batch sweet,49,19
template,0,collage,48,20
font,48,fonts,57,20
text,0,text free,75,20
frame,9,collage,48,20
border,0,heja,44,20
brand,5,brand,5,1
protect,9,unifi,41,20
sign,0,adobe scan,50,20
export,5,export,5,1
share,0,shareit,56,20
edit,44,edits,55,20
editor,41,ovf editor,52,20
image,0,pic,42,20
picture,0,picsart,60,20
pics,0,picsart,60,20
proof,29,proof,29,10
exif,9,zynga poker,40,20
gps,0,maps,54,20
privacy,36,privacy,36,10
secure,36,secure,36,20
artist,7,spotify for artists,36,20
creator,0,creators app,45,20
realtor,0,macdonalds,53,20
property,33,comparis immobilien,48,20
insurance,41,td insurance mobile app,54,20
construction,39,construction simulator,39,20
document,0,documents,55,20
receipt,38,receipt hog,44,20
ai,80,ai,80,20
deepfake,5,deepfake,5,1
authentic,0,microsoft authenticator,63,20
license,5,digital licence qld,52,19
portfolio,9,trading view,33,20
print,50,printsmash,67,20
business,0,meta business suite,48,20
professional,5,professional,5,1
tool,12,toolbox,32,10
free,66,facebook,93,20
maker,6,sing,29,18
add,5,add,5,1
